title,author,abstractstract,main_subject,other_subjects,submission_date
Multi-adjoint concept lattices via quantaloid-enriched categories,"Hongliang Lai, Lili Shen","With quantaloids carefully constructed from multi-adjoint frames, it is shown
that multi-adjoint concept lattices, multi-adjoint property-oriented concept
lattices and multi-adjoint object-oriented concept lattices are derivable from
Isbell adjunctions, Kan adjunctions and dual Kan adjunctions between
quantaloid-enriched categories, respectively.",Logic in Computer Science (cs.LO),; Category Theory (math.CT),"[Submitted on 21 Mar 2019 (v1), last revised 11 Mar 2020 (this version, v2)]"
Learning with Batch-wise Optimal Transport Loss for 3D Shape Recognition,"Lin Xu, Han Sun, Yuai Liu","Deep metric learning is essential for visual recognition. The widely used
pair-wise (or triplet) based loss objectives cannot make full use of semantical
information in training samples or give enough attention to those hard samples
during optimization. Thus, they often suffer from a slow convergence rate and
inferior performance. In this paper, we show how to learn an importance-driven
distance metric via optimal transport programming from batches of samples. It
can automatically emphasize hard examples and lead to significant improvements
in convergence. We propose a new batch-wise optimal transport loss and combine
it in an end-to-end deep metric learning manner. We use it to learn the
distance metric and deep feature representation jointly for recognition.
Empirical results on visual retrieval and classification tasks with six
benchmark datasets, i.e., MNIST, CIFAR10, SHREC13, SHREC14, ModelNet10, and
ModelNet40, demonstrate the superiority of the proposed method. It can
accelerate the convergence rate significantly while achieving a
state-of-the-art recognition performance. For example, in 3D shape recognition
experiments, we show that our method can achieve better recognition performance
within only 5 epochs than what can be obtained by mainstream 3D shape
recognition approaches after 200 epochs.",Computer Vision and Pattern Recognition (cs.CV),,[Submitted on 21 Mar 2019]
Smart Radio Environments Empowered by AI Reconfigurable Meta-Surfaces: An Idea Whose Time Has Come,"Marco Di Renzo, Merouane Debbah, Dinh-Thuy Phan-Huy, Alessio Zappone, Mohamed-Slim Alouini, Chau Yuen, Vincenzo Sciancalepore, George C. Alexandropoulos, Jakob Hoydis, Haris Gacanin, Julien de Rosny, Ahcene Bounceu, Geoffroy Lerosey, Mathias Fink","Future wireless networks are expected to constitute a distributed intelligent
wireless communications, sensing, and computing platform, which will have the
challenging requirement of interconnecting the physical and digital worlds in a
seamless and sustainable manner.
Currently, two main factors prevent wireless network operators from building
such networks: 1) the lack of control of the wireless environment, whose impact
on the radio waves cannot be customized, and 2) the current operation of
wireless radios, which consume a lot of power because new signals are generated
whenever data has to be transmitted.
In this paper, we challenge the usual ""more data needs more power and
emission of radio waves"" status quo, and motivate that future wireless networks
necessitate a smart radio environment: A transformative wireless concept, where
the environmental objects are coated with artificial thin films of
electromagnetic and reconfigurable material (that are referred to as
intelligent reconfigurable meta-surfaces), which are capable of sensing the
environment and of applying customized transformations to the radio waves.
Smart radio environments have the potential to provide future wireless networks
with uninterrupted wireless connectivity, and with the capability of
transmitting data without generating new signals but recycling existing radio
waves.
This paper overviews the current research efforts on smart radio
environments, the enabling technologies to realize them in practice, the need
of new communication-theoretic models for their analysis and design, and the
long-term and open research issues to be solved towards their massive
deployment. In a nutshell, this paper is focused on discussing how the
availability of intelligent reconfigurable meta-surfaces will allow wireless
network operators to redesign common and well-known network communication
paradigms.",Information Theory (cs.IT),,[Submitted on 21 Mar 2019]
Solving the Steiner Tree Problem in Graphs using Physarum-inspired Algorithms,Yahui Sun,"Some biological experiments show that the tubular structures of Physarum
polycephalum are often analogous to those of Steiner trees. Therefore, the
emerging Physarum-inspired Algorithms (PAs) have the potential of computing
Steiner trees. In this paper, we propose two PAs to solve the Steiner Tree
Problem in Graphs (STPG). We apply some widely-used artificial and real-world
VLSI design instances to evaluate the performance of our PAs. The experimental
results show that: 1) for instances with hundreds of vertices, our first PA can
find feasible solutions with an average error of 0.19%, while the Genetic
Algorithm (GA), the Discrete Particle Swarm Optimization (DPSO) algorithm and a
widely-used Steiner tree approximation algorithm: the Shortest Path Heuristic
(SPH) algorithm can only find feasible solutions with an average error above
4.96%; and 2) for larger instances with up to tens of thousands of vertices,
where our first PA, GA and DPSO are too slow to be used, our second PA can find
feasible solutions with an average error of 3.69%, while SPH can only find
feasible solutions with an average error of 6.42%. These experimental results
indicate that PAs can compute Steiner trees, and it may be preferable to apply
our PAs to solve STPG in some cases.",Emerging Technologies (cs.ET),,"[Submitted on 21 Mar 2019 (v1), last revised 6 Apr 2019 (this version, v2)]"
Mediating role of managing information technology and its impact on firm performance: insight from China,"Aboobucker Ilmudeen, Yukun Bao","Purpose: Managing IT with firm performance has always been a debatable topic
in literature and practice. Prior studies examining the above relationship have
reported mixed results and have yet ignored the eminent managing IT practices.
The purpose of this paper is to empirically investigate the relevance of ValIT
2.0 practice in managing IT investment, and its mediating role in the firm
performance context. Design,methodology,approach:This paper developed on two
themes of literature. First managing IT as a firm's IT capability in order to
generate value from IT investment. Second IT as a firm's resource under
resource-based view offers firm's competence that deploys potentials in
achieving firm performance. The structural equation modeling with PLS
techniques used for analyzing data collected from 176 organization's IT, and
business executives in China. Findings: The results of this study show
empirical evidence that Val-IT's components (value governance, portfolio
management, and investment management) are significantly linked to the
management of IT, and it found to be a significant mediator between Val-IT
components and firm performance. Research implications: This research
contributes to the literature and practice by way of highlighting the value
generation through managing IT on firm performance. Originality: This study is
fully based on ValIT 2.0 with the firm performance where the managing IT
mediate this relationship in a country-specific study in China. This study adds
to the Chinese information system literature which suffers the lack of
empirical studies in the context of management of IT research.",Computers and Society (cs.CY),,[Submitted on 21 Mar 2019]
An empirical analysis of exact algorithms for the unbounded knapsack problem,"Henrique Becker, Luciana S. Buriol","This work presents an empirical analysis of exact algorithms for the
unbounded knapsack problem, which includes seven algorithms from the
literature, two commercial solvers, and more than ten thousand instances. The
terminating step-off, a dynamic programming algorithm from 1966, presented the
lowest mean time to solve the most recent benchmark from the literature. The
threshold and collective dominances are properties of the unbounded knapsack
problem first discussed in 1998, and exploited by the current state-of-the-art
algorithms. The terminating step-off algorithm did not exploit such dominances,
but has an alternative mechanism for dealing with dominances which does not
explicitly exploits collective and threshold dominances. Also, the pricing
subproblems found when solving hard cutting stock problems with column
generation can cause branch-and-bound algorithms to display worst-case times.
The authors present a new class of instances which favors the branch-and-bound
approach over the dynamic programming approach but do not have high amounts of
simple, multiple and collective dominated items. This behaviour illustrates how
the definition of hard instances changes among algorithm approachs. The codes
used for solving the unbounded knapsack problem and for instance generation are
all available online.",Data Structures and Algorithms (cs.DS),,[Submitted on 21 Mar 2019]
Dynamic Power Management for Neuromorphic Many-Core Systems,"Sebastian Hoeppner, Bernhard Vogginger, Yexin Yan, Andreas Dixius, Stefan Scholze, Johannes Partzsch, Felix Neumaerker, Stephan Hartmann, Stefan Schiefer, Georg Ellguth, Love Cederstroem, Luis Plana, Jim Garside, Steve Furber, Christian Mayr","This work presents a dynamic power management architecture for neuromorphic
many core systems such as SpiNNaker. A fast dynamic voltage and frequency
scaling (DVFS) technique is presented which allows the processing elements (PE)
to change their supply voltage and clock frequency individually and
autonomously within less than 100 ns. This is employed by the neuromorphic
simulation software flow, which defines the performance level (PL) of the PE
based on the actual workload within each simulation cycle. A test chip in 28 nm
SLP CMOS technology has been implemented. It includes 4 PEs which can be scaled
from 0.7 V to 1.0 V with frequencies from 125 MHz to 500 MHz at three distinct
PLs. By measurement of three neuromorphic benchmarks it is shown that the total
PE power consumption can be reduced by 75%, with 80% baseline power reduction
and a 50% reduction of energy per neuron and synapse computation, all while
maintaining temporary peak system performance to achieve biological real-time
operation of the system. A numerical model of this power management model is
derived which allows DVFS architecture exploration for neuromorphics. The
proposed technique is to be used for the second generation SpiNNaker
neuromorphic many core system.",Neural and Evolutionary Computing (cs.NE),,[Submitted on 21 Mar 2019]
Biasing MCTS with Features for General Games,"Dennis J. N. J. Soemers, Éric Piette, Cameron Browne","This paper proposes using a linear function approximator, rather than a deep
neural network (DNN), to bias a Monte Carlo tree search (MCTS) player for
general games. This is unlikely to match the potential raw playing strength of
DNNs, but has advantages in terms of generality, interpretability and resources
(time and hardware) required for training. Features describing local patterns
are used as inputs. The features are formulated in such a way that they are
easily interpretable and applicable to a wide range of general games, and might
encode simple local strategies. We gradually create new features during the
same self-play training process used to learn feature weights. We evaluate the
playing strength of an MCTS player biased by learnt features against a standard
upper confidence bounds for trees (UCT) player in multiple different board
games, and demonstrate significantly improved playing strength in the majority
of them after a small number of self-play training games.",Artificial Intelligence (cs.AI),; Machine Learning (stat.ML),[Submitted on 21 Mar 2019]
The CASE Dataset of Candidate Spaces for Advert Implantation,"Soumyabrata Dev, Murhaf Hossari, Matthew Nicholson, Killian McCabe, Atul Nautiyal, Clare Conran, Jian Tang, Wei Xu, François Pitié","With the advent of faster internet services and growth of multimedia content,
we observe a massive growth in the number of online videos. The users generate
these video contents at an unprecedented rate, owing to the use of smart-phones
and other hand-held video capturing devices. This creates immense potential for
the advertising and marketing agencies to create personalized content for the
users. In this paper, we attempt to assist the video editors to generate
augmented video content, by proposing candidate spaces in video frames. We
propose and release a large-scale dataset of outdoor scenes, along with
manually annotated maps for candidate spaces. We also benchmark several
deep-learning based semantic segmentation algorithms on this proposed dataset.",Computer Vision and Pattern Recognition (cs.CV),,"[Submitted on 21 Mar 2019 (v1), last revised 29 Apr 2019 (this version, v2)]"
Iteratively Learning Embeddings and Rules for Knowledge Graph Reasoning,"Wen Zhang, Bibek Paudel, Liang Wang, Jiaoyan Chen, Hai Zhu, Wei Zhang, Abraham Bernstein, Huajun Chen","Reasoning is essential for the development of large knowledge graphs,
especially for completion, which aims to infer new triples based on existing
ones. Both rules and embeddings can be used for knowledge graph reasoning and
they have their own advantages and difficulties. Rule-based reasoning is
accurate and explainable but rule learning with searching over the graph always
suffers from efficiency due to huge search space. Embedding-based reasoning is
more scalable and efficient as the reasoning is conducted via computation
between embeddings, but it has difficulty learning good representations for
sparse entities because a good embedding relies heavily on data richness. Based
on this observation, in this paper we explore how embedding and rule learning
can be combined together and complement each other's difficulties with their
advantages. We propose a novel framework IterE iteratively learning embeddings
and rules, in which rules are learned from embeddings with proper pruning
strategy and embeddings are learned from existing triples and new triples
inferred by rules. Evaluations on embedding qualities of IterE show that rules
help improve the quality of sparse entity embeddings and their link prediction
results. We also evaluate the efficiency of rule learning and quality of rules
from IterE compared with AMIE+, showing that IterE is capable of generating
high quality rules more efficiently. Experiments show that iteratively learning
embeddings and rules benefit each other during learning and prediction.",Artificial Intelligence (cs.AI),; Computation and Language (cs.CL),[Submitted on 21 Mar 2019]
